Nâng cấp bắt đầu: 11:44:37_07-03-2021
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file themes/admin_default/modules/users/config_single-sign-on.tpl | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file themes/admin_default/modules/users/getuserid.tpl | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file themes/admin_default/modules/users/groups.tpl | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file themes/admin_default/modules/users/main.tpl | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file themes/admin_default/modules/users/siteterms.tpl | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file themes/admin_default/modules/users/user_add.tpl | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file themes/admin_default/modules/users/user_edit.tpl | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file themes/admin_default/modules/users/user_waitting.tpl | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file themes/admin_default/modules/webtools/clearsystem.tpl | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file themes/admin_default/modules/webtools/config.tpl | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file themes/admin_default/modules/webtools/statistics.tpl | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file themes/default/css/style.css | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file themes/default/system/mail.tpl | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file vendor/composer/autoload_classmap.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file vendor/composer/autoload_static.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file vendor/composer/installed.json | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file vendor/phpmailer/phpmailer/VERSION | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file vendor/phpmailer/phpmailer/src/PHPMailer.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file vendor/phpmailer/phpmailer/src/POP3.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file vendor/phpmailer/phpmailer/src/SMTP.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file vendor/vinades/nukeviet/Client/UrlGetContents.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file vendor/vinades/nukeviet/Core/Ips.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file vendor/vinades/nukeviet/Core/Request.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file vendor/vinades/nukeviet/Core/Sendmail.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file vendor/vinades/nukeviet/Core/Server.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file vendor/vinades/nukeviet/Files/Upload.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file vendor/vinades/nukeviet/Http/Cookie.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file vendor/vinades/nukeviet/Http/Curl.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file vendor/vinades/nukeviet/Http/Http.php | SUCCESS
11:44:43_07-03-2021 | 113.161.46.177 | Di chuyển file vendor/vinades/pclzip/pclzip.lib.php | SUCCESS
